id,name,symbol,price_change_percentage_24h
sei-network,Sei,sei,21.06369
aptos,Aptos,apt,16.25008
sonic-3,Sonic,s,11.42022
spx6900,SPX6900,spx,10.7515
injective-protocol,Injective,inj,10.44823
arbitrum,Arbitrum,arb,9.81679
jupiter-exchange-solana,Jupiter,jup,9.49845
blockstack,Stacks,stx,8.53748
celestia,Celestia,tia,7.82447
kaia,Kaia,kaia,7.76601
