id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,market_cap_rank,fetch_time
fasttoken,ftn,Fasttoken,4.43,1902702418,60972460.0,-0.20073,57,2025-06-25 02:46:38.531670
cosmos,atom,Cosmos Hub,4.07,1855172323,112805529.0,1.53148,58,2025-06-25 02:46:38.531670
official-trump,trump,Official Trump,9.23,1846119718,511185698.0,2.54861,59,2025-06-25 02:46:38.531670
vechain,vet,VeChain,0.02141935,1841195895,48202077.0,3.92221,60,2025-06-25 02:46:38.531670
sky,sky,Sky,0.084147,1791206923,9360858.0,-0.65595,61,2025-06-25 02:46:38.531670
lombard-staked-btc,lbtc,Lombard Staked BTC,105921.0,1778579239,2738321.0,1.61725,62,2025-06-25 02:46:38.531670
fetch-ai,fet,Artificial Superintelligence Alliance,0.669057,1742561595,237815620.0,4.27543,63,2025-06-25 02:46:38.531670
render-token,render,Render,3.19,1651551840,159444934.0,4.90317,64,2025-06-25 02:46:38.531670
polygon-ecosystem-token,pol,POL (ex-MATIC),0.182131,1639622661,128572201.0,2.93042,65,2025-06-25 02:46:38.531670
ethena,ena,Ethena,0.26554,1616351820,273761354.0,2.8531,66,2025-06-25 02:46:38.531670
arbitrum,arb,Arbitrum,0.319375,1585297166,335537210.0,9.81679,67,2025-06-25 02:46:38.531670
algorand,algo,Algorand,0.18282,1579356232,80136930.0,6.20043,68,2025-06-25 02:46:38.531670
sei-network,sei,Sei,0.279755,1557179008,726234651.0,21.06369,69,2025-06-25 02:46:38.531670
filecoin,fil,Filecoin,2.3,1556477478,221053947.0,4.62747,70,2025-06-25 02:46:38.531670
first-digital-usd,fdusd,First Digital USD,0.998896,1526479486,6013863723.0,0.00548,71,2025-06-25 02:46:38.531670
worldcoin-wld,wld,Worldcoin,0.920301,1525713087,225869233.0,4.35799,72,2025-06-25 02:46:38.531670
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.39,1489173261,58255923.0,1.69728,73,2025-06-25 02:46:38.531670
binance-peg-weth,weth,Binance-Peg WETH,2444.56,1478771772,62445648.0,3.90019,74,2025-06-25 02:46:38.531670
usdtb,usdtb,USDtb,1.0,1458698204,18407410.0,-0.02367,75,2025-06-25 02:46:38.531670
quant-network,qnt,Quant,99.42,1446061620,25209929.0,4.12594,76,2025-06-25 02:46:38.531670
